open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722470400000,2.1043000,2.1403000,2.1017000,2.1359000,4901449,1722473999999,10380372.2088000,45561,2624917,5559997.3264000,0
1722474000000,2.1361000,2.1449000,2.1131000,2.1263000,4156534,1722477599999,8847057.3884000,42776,1825017,3886447.8239000,0
1722477600000,2.1263000,2.1307000,2.1016000,2.1192000,4066925,1722481199999,8603599.7424000,42919,1867448,3951399.6378000,0
1722481200000,2.1192000,2.1344000,2.1034000,2.1174000,3027185,1722484799999,6413789.7438000,33781,1496157,3171006.4729000,0
1722484800000,2.1171000,2.1344000,2.0582000,2.0753000,10644075,1722488399999,22228364.4201000,76305,4467820,9336999.7919000,0
1722488400000,2.0753000,2.1311000,2.0644000,2.1309000,6713977,1722491999999,14098161.6059000,60120,3581343,7523314.5377000,0
1722492000000,2.1309000,2.1388000,2.1126000,2.1176000,4269927,1722495599999,9075643.4835000,41212,2094811,4453448.1806000,0
1722495600000,2.1172000,2.1330000,2.1109000,2.1112000,3170425,1722499199999,6722260.2434000,32096,1623746,3443426.0268000,0
1722499200000,2.1111000,2.1278000,2.1091000,2.1264000,2715454,1722502799999,5756373.4724000,29454,1498188,3176378.7305000,0
1722502800000,2.1264000,2.1354000,2.1162000,2.1170000,3039887,1722506399999,6458528.5894000,28906,1501840,3191692.7476000,0
1722506400000,2.1170000,2.1200000,2.1011000,2.1169000,3054771,1722509999999,6449164.0275000,27363,1558060,3289726.3620000,0
1722510000000,2.1168000,2.1181000,2.0917000,2.1080000,3422251,1722513599999,7196583.1894000,32502,1670818,3513189.5332000,0
1722513600000,2.1078000,2.1344000,2.1045000,2.1174000,4085710,1722517199999,8664014.5897000,36820,2015892,4274365.7176000,0
1722517200000,2.1174000,2.1206000,2.0961000,2.1047000,4385392,1722520799999,9233947.4335000,36030,2264819,4769067.5382000,0
1722520800000,2.1048000,2.1085000,2.0189000,2.0195000,15260432,1722524399999,31402803.8800000,98908,6296664,12960388.3106000,0
1722524400000,2.0199000,2.0355000,1.9940000,2.0212000,17954862,1722527999999,36227553.9079000,122064,8641645,17444436.9207000,0
1722528000000,2.0213000,2.0218000,1.9323000,1.9786000,23390187,1722531599999,46299639.5202000,150710,10694235,21190610.5621000,0
1722531600000,1.9786000,1.9808000,1.9562000,1.9733000,7102046,1722535199999,13979227.3407000,64459,3523015,6935099.9579000,0
1722535200000,1.9733000,1.9736000,1.9000000,1.9359000,17076329,1722538799999,33033698.2715000,116151,8344515,16145512.5754000,0
1722538800000,1.9357000,1.9735000,1.9341000,1.9713000,4661856,1722542399999,9124642.7858000,43427,2571158,5032024.9805000,0
1722542400000,1.9712000,2.0182000,1.9558000,2.0107000,8755655,1722545999999,17413049.6307000,66813,4817829,9582099.6063000,0
1722546000000,2.0103000,2.0600000,2.0036000,2.0398000,6153638,1722549599999,12476886.6646000,55021,3390932,6877579.9388000,0
1722549600000,2.0398000,2.0904000,2.0334000,2.0789000,7230632,1722553199999,14961359.7852000,68846,3515894,7275787.1994000,0
1722553200000,2.0790000,2.0885000,2.0572000,2.0786000,5125286,1722556799999,10625584.7699000,46617,2261014,4689115.0975000,0
1722556800000,2.0786000,2.1065000,2.0785000,2.0795000,5709056,1722560399999,11930639.6160000,58343,2804123,5860445.8590000,0
1722560400000,2.0794000,2.0805000,2.0554000,2.0568000,5734814,1722563999999,11858601.4101000,49667,2518307,5208059.7536000,0
1722564000000,2.0569000,2.0615000,2.0124000,2.0325000,6740819,1722567599999,13718298.1251000,60932,3194755,6499641.8191000,0
1722567600000,2.0324000,2.0598000,2.0226000,2.0470000,3441869,1722571199999,7040539.3251000,37434,1899032,3884708.2981000,0
1722571200000,2.0469000,2.0541000,2.0293000,2.0396000,2787790,1722574799999,5690766.8663000,32645,1327995,2711319.2455000,0
1722574800000,2.0397000,2.0399000,1.9970000,2.0005000,4726935,1722578399999,9515843.7951000,41204,2095655,4218451.3433000,0
1722578400000,2.0005000,2.0115000,1.9604000,1.9999000,9718729,1722581999999,19309272.9803000,73233,4906294,9753730.2545000,0
1722582000000,2.0000000,2.0061000,1.9777000,1.9977000,4593651,1722585599999,9160069.9795000,39770,2342905,4672912.3318000,0
1722585600000,1.9977000,2.0072000,1.9732000,2.0070000,4522493,1722589199999,9005008.2589000,40157,2181529,4344784.3406000,0
1722589200000,2.0070000,2.0390000,2.0024000,2.0272000,6950446,1722592799999,14054120.9744000,48213,3797667,7678576.1894000,0
1722592800000,2.0271000,2.0472000,2.0119000,2.0449000,5015083,1722596399999,10169328.0864000,37436,2532105,5135470.2927000,0
1722596400000,2.0448000,2.0682000,2.0406000,2.0607000,9766867,1722599999999,20087724.9019000,62911,4958315,10198632.7238000,0
1722600000000,2.0605000,2.0785000,2.0256000,2.0538000,11621204,1722603599999,23831612.2554000,87947,5462076,11204785.7832000,0
1722603600000,2.0538000,2.0944000,2.0231000,2.0590000,11110942,1722607199999,22891432.2878000,85479,5787104,11924376.0072000,0
1722607200000,2.0594000,2.0689000,1.9620000,1.9701000,15500680,1722610799999,31161449.0462000,120605,7142348,14369453.5065000,0
