open_time,open,high,low,close,volume,close_time,quote_volume,MACD,Signal,MACD_Histogram
2023-07-27 11:00:00,2.2392,2.265,2.2309,2.2406,4627369,2023-07-27 11:59:59.999,10406087.5612,-0.017710211967947753,-0.015438487716094988,-0.0022717242518527653
2023-07-27 12:00:00,2.2405,2.2429,2.1882,2.2219,7829451,2023-07-27 12:59:59.999,17372328.0096,-0.018129851938136987,-0.01597676056050339,-0.0021530913776335973
2023-07-27 13:00:00,2.2227,2.2408,2.205,2.216,4641303,2023-07-27 13:59:59.999,10315055.9047,-0.018722676963919493,-0.01652594384118661,-0.002196733122732882
2023-07-27 14:00:00,2.2158,2.2177,2.1231,2.1637,10901855,2023-07-27 14:59:59.999,23723393.4911,-0.023145856947493382,-0.017849926462447967,-0.005295930485045414
2023-07-27 15:00:00,2.1637,2.1927,2.1535,2.1849,6163663,2023-07-27 15:59:59.999,13399583.0421,-0.02465637280986588,-0.01921121573193155,-0.005445157077934328
2023-07-27 16:00:00,2.1849,2.19,2.1392,2.1498,5309594,2023-07-27 16:59:59.999,11499113.5619,-0.028358841103065746,-0.021040740806158392,-0.007318100296907354
2023-07-27 17:00:00,2.1499,2.1662,2.1366,2.1508,4540633,2023-07-27 17:59:59.999,9764718.5053,-0.03085668559371424,-0.02300392976366956,-0.007852755830044678
2023-07-27 18:00:00,2.1507,2.1521,2.0639,2.0939,14500221,2023-07-27 18:59:59.999,30399130.9223,-0.03700107446138823,-0.025803358703213295,-0.011197715758174933
2023-07-27 19:00:00,2.094,2.1185,2.081,2.108,5431041,2023-07-27 19:59:59.999,11410499.8395,-0.040268603352455745,-0.028696407633061787,-0.011572195719393958
2023-07-27 20:00:00,2.1079,2.1197,2.0858,2.0986,3186762,2023-07-27 20:59:59.999,6691574.3828,-0.0431195891975662,-0.03158104394596267,-0.011538545251603527
2023-07-27 21:00:00,2.0985,2.112,2.0861,2.107,3231531,2023-07-27 21:59:59.999,6795667.8918,-0.044191790766270334,-0.034103193310024205,-0.010088597456246129
2023-07-27 22:00:00,2.1069,2.1189,2.0866,2.0881,2807991,2023-07-27 22:59:59.999,5905696.5271,-0.04603591688686448,-0.03648973802539226,-0.009546178861472222
2023-07-27 23:00:00,2.0885,2.109,2.0883,2.0948,2721058,2023-07-27 23:59:59.999,5714406.9678,-0.046421646276083806,-0.038476119675530565,-0.00794552660055324
2023-07-28 00:00:00,2.0947,2.0948,2.035,2.0704,8782925,2023-07-28 00:59:59.999,18117229.7607,-0.048141273047967115,-0.04040915035001788,-0.007732122697949234
2023-07-28 01:00:00,2.0704,2.1349,2.0664,2.116,7392066,2023-07-28 01:59:59.999,15559782.6159,-0.04530233364647396,-0.0413877870093091,-0.0039145466371648605
2023-07-28 02:00:00,2.116,2.1397,2.0756,2.0911,5413507,2023-07-28 02:59:59.999,11394881.5997,-0.044548152250472484,-0.042019860057541776,-0.0025282921929307076
2023-07-28 03:00:00,2.0911,2.0993,2.077,2.0992,2584723,2023-07-28 03:59:59.999,5396352.7147,-0.042803444293485704,-0.04217657690473056,-0.0006268673887551424
2023-07-28 04:00:00,2.0987,2.1657,2.0861,2.15,7387688,2023-07-28 04:59:59.999,15732204.4631,-0.03689629766857072,-0.041120521057498596,0.004224223388927875
2023-07-28 05:00:00,2.1501,2.1548,2.115,2.1395,5094149,2023-07-28 05:59:59.999,10871313.4377,-0.032685327547413934,-0.039433482355481664,0.00674815480806773
2023-07-28 06:00:00,2.1395,2.149,2.1128,2.1176,3610758,2023-07-28 06:59:59.999,7683809.4599,-0.030760660614343127,-0.03769891800725396,0.006938257392910832
2023-07-28 07:00:00,2.1176,2.1572,2.108,2.1379,4852243,2023-07-28 07:59:59.999,10366842.545,-0.02728280862274257,-0.03561569613035168,0.008332887507609112
2023-07-28 08:00:00,2.1378,2.2099,2.1349,2.1816,12812772,2023-07-28 08:59:59.999,27974618.0085,-0.020761040724790902,-0.03264476504923953,0.011883724324448626
2023-07-28 09:00:00,2.1817,2.2072,2.1637,2.1906,6385448,2023-07-28 09:59:59.999,13956137.5413,-0.01469685173665436,-0.029055182386722497,0.014358330650068137
2023-07-28 10:00:00,2.1906,2.2387,2.173,2.2107,6942217,2023-07-28 10:59:59.999,15317069.2548,-0.008174802224733657,-0.024879106354324727,0.01670430412959107
2023-07-28 11:00:00,2.2107,2.2257,2.201,2.2149,4677841,2023-07-28 11:59:59.999,10344442.6256,-0.002636731499157996,-0.020430631383291382,0.017793899884133386
2023-07-28 12:00:00,2.2149,2.2255,2.16,2.1761,7520549,2023-07-28 12:59:59.999,16431781.8955,-0.0013628956714373253,-0.016617084240920572,0.015254188569483247
2023-07-28 13:00:00,2.1759,2.179,2.1395,2.1497,5790629,2023-07-28 13:59:59.999,12487815.8539,-0.002455327479673919,-0.013784732888671242,0.011329405408997323
2023-07-28 14:00:00,2.1497,2.1846,2.1458,2.1684,5072534,2023-07-28 14:59:59.999,10995219.2475,-0.0017915025148482755,-0.011386086813906649,0.009594584299058373
2023-07-28 15:00:00,2.1684,2.1962,2.1611,2.1706,5094266,2023-07-28 15:59:59.999,11096772.5776,-0.00107549717186739,-0.009323968885498798,0.008248471713631408
2023-07-28 16:00:00,2.1703,2.1983,2.1473,2.1817,5894629,2023-07-28 16:59:59.999,12807583.6791,0.00038320213869447173,-0.007382534680660144,0.007765736819354616
2023-07-28 17:00:00,2.1817,2.1906,2.1552,2.1614,3112255,2023-07-28 17:59:59.999,6761230.3711,-9.768247142005748e-05,-0.0059255642388121275,0.00582788176739207
2023-07-28 18:00:00,2.1613,2.1729,2.1519,2.1599,2235686,2023-07-28 18:59:59.999,4832383.1486,-0.0005929888471918332,-0.00485904916048807,0.0042660603132962365
2023-07-28 19:00:00,2.1599,2.1788,2.1592,2.1716,1414233,2023-07-28 19:59:59.999,3069304.6782,-4.095835701622974e-05,-0.003895430999793702,0.003854472642777472
2023-07-28 20:00:00,2.1717,2.2099,2.171,2.206,3573127,2023-07-28 20:59:59.999,7827240.7392,0.0031361704698391613,-0.0024891107058671296,0.005625281175706291
2023-07-28 21:00:00,2.206,2.2074,2.1816,2.1848,2384643,2023-07-28 21:59:59.999,5233531.4795,0.003898466041081239,-0.0012115953564774558,0.005110061397558695
2023-07-28 22:00:00,2.1846,2.2349,2.1815,2.2189,4570725,2023-07-28 22:59:59.999,10113731.8866,0.007171507117797127,0.00046502513837746074,0.006706481979419666
2023-07-28 23:00:00,2.2189,2.231,2.2078,2.2158,3857940,2023-07-28 23:59:59.999,8565461.6636,0.009406835515590739,0.0022533872138201165,0.007153448301770622
2023-07-29 00:00:00,2.2157,2.2388,2.1912,2.2087,7464040,2023-07-29 00:59:59.999,16529505.0192,0.010484579012260298,0.0038996255735081527,0.006584953438752145
2023-07-29 01:00:00,2.2085,2.2131,2.1707,2.1856,4390863,2023-07-29 01:59:59.999,9611932.5441,0.009366747518057661,0.004993049962418054,0.0043736975556396065
2023-07-29 02:00:00,2.1857,2.35,2.1856,2.2881,22134940,2023-07-29 02:59:59.999,50625009.4586,0.016560848227522573,0.007306609615438958,0.009254238612083614
2023-07-29 03:00:00,2.2881,2.3015,2.265,2.2882,5503682,2023-07-29 03:59:59.999,12562121.2292,0.022016501510122577,0.010248587994375682,0.011767913515746894
2023-07-29 04:00:00,2.2883,2.3344,2.268,2.2749,8807810,2023-07-29 04:59:59.999,20200709.6839,0.02497900477700199,0.013194671350900945,0.011784333426101044
2023-07-29 05:00:00,2.2749,2.2852,2.26,2.2737,4005520,2023-07-29 05:59:59.999,9106025.231,0.02691966682624347,0.015939670445969452,0.01097999638027402
2023-07-29 06:00:00,2.2737,2.282,2.2405,2.2558,5072485,2023-07-29 06:59:59.999,11465584.2742,0.026705431487885622,0.018092822654352685,0.008612608833532938
2023-07-29 07:00:00,2.2558,2.2729,2.2472,2.2624,3758938,2023-07-29 07:59:59.999,8501646.9666,0.02675974361324185,0.01982620684613052,0.00693353676711133
2023-07-29 08:00:00,2.2623,2.2718,2.2588,2.267,2818711,2023-07-29 08:59:59.999,6387428.2094,0.026864293071988232,0.02123382409130206,0.005630468980686171
2023-07-29 09:00:00,2.2669,2.2669,2.2489,2.2659,3218868,2023-07-29 09:59:59.999,7271205.196,0.026552309963348453,0.022297521265711343,0.00425478869763711
2023-07-29 10:00:00,2.2658,2.2974,2.2575,2.2802,4157651,2023-07-29 10:59:59.999,9452017.9037,0.02714602906668384,0.023267222825905844,0.0038788062407779968
2023-07-29 11:00:00,2.2803,2.318,2.27,2.2775,7911067,2023-07-29 11:59:59.999,18126145.4892,0.027086452534348826,0.024031068767594442,0.003055383766754384
2023-07-29 12:00:00,2.2776,2.2982,2.269,2.2791,5179898,2023-07-29 12:59:59.999,11823841.351,0.026858733569877113,0.02459660172805098,0.0022621318418261337
2023-07-29 13:00:00,2.279,2.3155,2.2737,2.2978,4004254,2023-07-29 13:59:59.999,9172159.944,0.027865976733668862,0.02525047672917456,0.002615500004494304
2023-07-29 14:00:00,2.2977,2.325,2.29,2.317,8642902,2023-07-29 14:59:59.999,19964282.4205,0.029869190303777327,0.026174219444095113,0.003694970859682213
2023-07-29 15:00:00,2.317,2.33,2.2679,2.2904,9208179,2023-07-29 15:59:59.999,21233706.2401,0.028976332670058724,0.026734642089287837,0.0022416905807708873
2023-07-29 16:00:00,2.2904,2.3097,2.2753,2.3043,5287881,2023-07-29 16:59:59.999,12105759.0657,0.029055417627458002,0.02719879719692187,0.0018566204305361309
2023-07-29 17:00:00,2.3046,2.376,2.298,2.3571,12993228,2023-07-29 17:59:59.999,30437365.9107,0.032998228717984635,0.028358683501134428,0.004639545216850206
2023-07-29 18:00:00,2.3571,2.3777,2.3462,2.3626,7746280,2023-07-29 18:59:59.999,18278350.899,0.03615002397445988,0.02991695159579952,0.006233072378660356
2023-07-29 19:00:00,2.3626,2.3689,2.3487,2.3599,4036978,2023-07-29 19:59:59.999,9528376.5788,0.03799202853181871,0.03153196698300336,0.00646006154881535
