open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,2.0321000,2.0417000,2.0071000,2.0351000,4238885,1698800399999,8574999.9427000,42920,2137556,4324361.4585000,0
1698800400000,2.0354000,2.0423000,1.9880000,1.9900000,3805923,1698803999999,7653524.3935000,35440,1684172,3387907.2599000,0
1698804000000,1.9900000,2.0067000,1.9729000,1.9869000,3142510,1698807599999,6248436.4520000,32457,1456896,2898537.0560000,0
1698807600000,1.9870000,2.0048000,1.9757000,1.9924000,2555892,1698811199999,5088140.2098000,30650,1352589,2693774.7988000,0
1698811200000,1.9924000,2.0014000,1.9772000,1.9829000,2250930,1698814799999,4477306.3575000,24625,1102883,2194297.6629000,0
1698814800000,1.9829000,1.9838000,1.9304000,1.9381000,6453920,1698818399999,12620330.0408000,48347,2707514,5294640.5985000,0
1698818400000,1.9385000,1.9639000,1.9251000,1.9516000,4185930,1698821999999,8139143.8604000,36132,2158171,4199528.2173000,0
1698822000000,1.9515000,1.9665000,1.9118000,1.9225000,5873520,1698825599999,11398089.6616000,45945,2684882,5213151.6307000,0
1698825600000,1.9226000,1.9451000,1.9125000,1.9321000,4210721,1698829199999,8135330.3734000,35140,2147861,4150999.1287000,0
1698829200000,1.9322000,1.9348000,1.9096000,1.9262000,3736869,1698832799999,7184844.6611000,30956,1801596,3464944.9133000,0
1698832800000,1.9261000,1.9265000,1.8912000,1.9013000,3975526,1698836399999,7583272.3257000,34324,1752623,3345244.1811000,0
1698836400000,1.9011000,1.9207000,1.8987000,1.9169000,2368503,1698839999999,4524721.1891000,24483,1273905,2434307.8016000,0
1698840000000,1.9169000,1.9229000,1.8833000,1.9143000,5649422,1698843599999,10738761.3463000,44043,2707737,5149010.1275000,0
1698843600000,1.9142000,1.9312000,1.8566000,1.8819000,9552757,1698847199999,18075002.0139000,81215,4692908,8886410.0928000,0
1698847200000,1.8819000,1.9091000,1.8366000,1.8548000,7216785,1698850799999,13521320.0144000,61188,3288331,6167311.2336000,0
1698850800000,1.8545000,1.8700000,1.8486000,1.8623000,4208505,1698854399999,7827724.3954000,35912,2251850,4188892.8375000,0
